Key,File,Type,UsedInMainMenu,NoTranslate,english
attLearnByUse,progression,Attribute,,,"Learn By Use"
attlearnbyuse,progression,Attribute,,,"Learn By Use"
attLearnByUseDesc,progression,Attribute,,,"Increase half the Mining, Scavenging and Weapons stats (eg. Damage and Stamina) by using tools and weapons, increase the other half of the stats in the Perk Tree as normal. Gain an extra Skill Point at level 50 for each Perk. Each Learn-By-Use perk level decreases the respective weapon/tool Degradation gradually up to 50%. Each point in one of the game's Perks increases the progression speed of the corresponding Learn By Use perk."
attLearnByUseName,progression,Attribute,,,"Learn By Use"
lbu_Miner69erName,progression,Perk,,,"Miner69r/MotherLode [DECEA3]{cvar($lbu_Miner69er_LevelXP:0)}xp To Next Lvl[-]" 
lbu_Miner69erDesc,progression,Perk,,,"Learn by Use: [Strength] Use any axe, pick, shovel, chainsaw or auger to upgrade half the Miner69er/MotherLode skill points. Increases are applied cumulatively per Level. There are 2 StaminaLoss values shown below - the second one is for Power Attacks. Degradation rate is decreasing from 100% to 50%."
lbu_LuckyLooterName,progression,Perk,,,"Lucky Looter [DECEA3]{cvar($lbu_LuckyLooter_LevelXP:0)}xp To Next Level[-]" 
lbu_LuckyLooterDesc,progression,Perk,,,"Learn by Use: [General] Loot any Container to upgrade half the Lucky Looter skill points. Increases are applied cumulatively per Level. Increases loot quantity and decreases time to open containers."
lbu_SalvageName,progression,Perk,,,"Salvage Operation [DECEA3]{cvar($lbu_Salvage_LevelXP:0)}xp To Next Level[-]" 
lbu_SalvageDesc,progression,Perk,,,"Learn by Use: [Perception] Use any Wrench, Ratchet or Impact Driver to upgrade half the Salvage skill points. Increases are applied cumulatively per Level. There are 2 StaminaLoss values shown below - the second one is for Power Attacks. Degradation rate is decreasing from 100% to 50%."
lbu_DeadEyeName,progression,Perk,,,"Dead Eye [DECEA3]{cvar($lbu_DeadEye_LevelXP:0)}xp To Next Level[-]"
lbu_DeadEyeDesc,progression,Perk,,,"Learn by Use: [Perception] Use any Rifle to upgrade half the DeadEye skill points. Increases are applied cumulatively per Level. Degradation rate is decreasing from 100% to 50%."
lbu_DemolitionName,progression,Perk,,,"Demolitions Expert [DECEA3]{cvar($lbu_Demolition_LevelXP:0)}xp To Next Level[-]"
lbu_DemolitionDesc,progression,Perk,,,"Learn by Use: [Perception] Use any explosive weapons to upgrade half the Demolitions Expert skill points. Increases are applied cumulatively per Level."
lbu_SpearMasterName,progression,Perk,,,"Spearmaster [DECEA3]{cvar($lbu_SpearMaster_LevelXP:0)}xp To Next Level[-]"
lbu_SpearMasterDesc,progression,Perk,,,"Learn by Use: [Perception] Use any Spear to upgrade half the Spearmaster skill points. Increases are applied cumulatively per Level. There are 2 StaminaLoss values shown below - the second one is for Power Attacks. Degradation rate is decreasing from 100% to 50%."
lbu_BoomstickName,progression,Perk,,,"Boomstick [DECEA3]{cvar($lbu_Boomstick_LevelXP:0)}xp To Next Level[-]" 
lbu_BoomstickDesc,progression,Perk,,,"Learn by Use: [Strength] Use any Shotgun to upgrade half the Boomstick skill points. Increases are applied cumulatively per Level. Degradation rate is decreasing from 100% to 50%."
lbu_PummelPeteName,progression,Perk,,,"Pummel Pete [DECEA3]{cvar($lbu_PummelPete_LevelXP:0)}xp To Next Level[-]"
lbu_PummelPeteDesc,progression,Perk,,,"Learn by Use: [Strength] Use any Club to upgrade half the PummelPete skill points. Killing blows grant from 1 to 15 stamina over levels 1-50. There are 2 EntityDamage values shown below - the 2nd one is additional damage when target stunned. There are 2 StaminaLoss values shown below - the 2nd one is for Power Attacks. Degradation rate is decreasing from 100% to 50%."
lbu_SkullCrusherName,progression,Perk,,,"Skull Crusher [DECEA3]{cvar($lbu_SkullCrusher_LevelXP:0)}xp To Next Level[-]" 
lbu_SkullCrusherDesc,progression,Perk,,,"Learn by Use: [Strength] Use any Sledgehammer to upgrade half the SkullCrusher skill points. Increases are applied cumulatively per Level. Killing blows grant from 1 to 15 stamina over levels 1-50. There are 2 StaminaLoss values shown below - the second one is for Power Attacks. Degradation rate is decreasing from 100% to 50%."
lbu_BrawlerName,progression,Perk,,,"Brawler [DECEA3]{cvar($lbu_Brawler_LevelXP:0)}xp To Next Level[-]" 
lbu_BrawlerDesc,progression,Perk,,,"Learn by Use: [Fortitude] Use your Fists to upgrade half the Brawler skill points. Increases are cumulative per Level. Killing blows grant 1 to 15 stamina over levels 1-50. There are 2 StaminaLoss values shown below - the second one is for Power Attacks. Degradation rate is decreasing from 100% to 50%."
lbu_MachineGunnerName,progression,Perk,,,"Machine Gunner [DECEA3]{cvar($lbu_MachineGunner_LevelXP:0)}xp To Next Level[-]" 
lbu_MachineGunnerDesc,progression,Perk,,,"Learn by Use: [Fortitude] Use any Assault Rifle or Machinegun to upgrade half the Machinegunner skill points. Increases are applied cumulatively per Level. Degradation rate is decreasing from 100% to 50%."
lbu_ArcheryName,progression,Perk,,,"Archery [DECEA3]{cvar($lbu_Archery_LevelXP:0)}xp To Next Level[-]" 
lbu_ArcheryDesc,progression,Perk,,,"Learn by Use: [Agility] Use any Bow to upgrade half the Archery skill points. Increases are applied cumulatively per Level. Degradation rate is decreasing from 100% to 50%."
lbu_GunslingerName,progression,Perk,,,"Gunslinger [DECEA3]{cvar($lbu_Gunslinger_LevelXP:0)}xp To Next Level[-]" 
lbu_GunslingerDesc,progression,Perk,,,"Learn by Use: [Agility] Use any Handgun or SMG to upgrade half the Gunslinger skill points. Increases are applied cumulatively per Level. Degradation rate is decreasing from 100% to 50%."
lbu_DeepCutsName,progression,Perk,,,"Deep Cuts [DECEA3]{cvar($lbu_DeepCuts_LevelXP:0)}xp To Next Level[-]"  
lbu_DeepCutsDesc,progression,Perk,,,"Learn by Use: [Agility] Use any Bladed Weapon to upgrade half the DeepCuts skill points. Increases are applied cumulatively per Level. Killing blows grant from 1 to 15 stamina over levels 1-50. There are 2 StaminaLoss values shown below - the second one is for Power Attacks. Degradation rate is decreasing from 100% to 50%."
lbu_HiddenStrikeName,progression,Perk,,,"Hidden Strike [DECEA3]{cvar($lbu_HiddenStrike_LevelXP:0)}xp To Next Level[-]" 
lbu_HiddenStrikeDesc,progression,Perk,,,"Learn by Use: [Agility] While sneaking, kill or wound any enemies when they are unaware to upgrade half the Hidden Strike skill points. Increases are applied cumulatively per Level. Applies to the same weapons as the Hidden Strike Perk"
