Key,File,Type,UsedInMainMenu,NoTranslate,english
noteDuke01,items,Quest - Note,,,Your background
tutorialTipQuest01,Journal Tip,,,,"You are one of 4 siblings from the Harrington Clan out East. You run point for your crew.\nYour family is engaged in an extended war and the war brings you here. You're exploring this area to find new sources of weapons and supplies. \nYou've heard rumours that this area is rich for the pickings, with both the Duke's gang and the Traders moving in to sift through whatever remains of civilisation. \nYour objectives are:\n - establish a base that can withstand zombie attacks as a foothold in the territory.\n - disrupt the Duke's supply chain. Strip the good loot without tipping them off to your presence.\n - identify Trader locations. Map out the extent of their presence and capabilites. Determine if they are friend or foe."
quest_BasicStart,Quest,Quest Info,,,Fresh Start
quest_BasicStart_subtitle,Quest,Quest Info,,,"You have 4 exp points"
quest_BasicStart_description,Quest,Quest Info,,,"You have 4 exp points"
trader_Cough,UI,Subtitles,,,"Cough!"
broodnest,Blocks,block,,,Brood Egg Nest
broodnestInfo,Blocks,block,,,"Set up a comfy place for birds to nest in and lay eggs"
broodnestHarvest,Blocks,block,,,Brood Nest Harvest 
broodnestHarvestInfo,Blocks,block,,,"Birds have gone, maybe they've left some eggs"                     
modArmorCigarDesc,item_modifiers,mod,,,Strength Attribute            +1\nBlock Damage                +10%
buffDrunkGrandpasWheelchairRacingElixirDesc,buffs,Buff,,,"Grandpas Wheelchair Racin' Elixir\nHealth Amount +5\nHealth Restore 0.25h/sec\nBlock Damage +10%\nMovement Speed +10%\nStamina Regen +10%\nDuration 1 Hour (stacks to 2hr) - Craft at Campfire\nSpecial:\nInhibits Hunger depletion from Health Regen\nInhibits Thirst depletion from Stamina Regen"
buffDrunkGrandpasWheelchairRacingElixirName,buffs,Buff,,,"Grandpas Wheelchair Racin' Elixir"
buffDrunkGrandpasWheelchairRacingElixirTooltip,buffs,Buff,,,"Get my wheelchair, lets do this..."
drinkJarGrandpasWheelchairRacingElixir,items,Food,,,Grandpa's Wheelchair Racin' Elixir
drinkJarGrandpasWheelchairRacingElixirDesc,items,Food,,,"Grandpas Wheelchair Racin' Elixir\nHealth Amount +5\nHealth Restore 0.25h/sec\nBlock Damage +10%\nMovement Speed +10%\nStamina Regen +10%\nDuration 1 Hour (stacks to 2hr) - Craft at Campfire\n\nSpecial:\nInhibits Hunger depletion from Health Regen\nInhibits Thirst depletion from Stamina Regen"
drinkJarGrandpasWheelchairRacingElixirPromptDesc,items,Food,,,Drink?
buffDrunkGrandpasThemsFightinWordsMoonshineDesc,buffs,Buff,,,"Grandpas Fightin' Words Moonshine\nMelee Damage +5%\nAttacks per min +5%\nResist:\n   Infection-Fatigue +10%\n   Laceration-Abrasions +10%\n   Stun-Strain-Bleeding +15%\nDuration 1 Hour (stacks to 2hr) - Craft at Campfire\nSpecial:\nDamage Resistance +15%"
buffDrunkGrandpasThemsFightinWordsMoonshineName,buffs,Buff,,,"Grandpas Fightin' Words Moonshine"
buffDrunkGrandpasThemsFightinWordsMoonshineTooltip,buffs,Buff,,,"Get my wheelchair, lets do this..,"
drinkJarGrandpasThemsFightinWordsMoonshine,items,Food,,,Grandpas Fightin' Words Moonshine
drinkJarGrandpasThemsFightinWordsMoonshineDesc,items,Food,,,"Grandpas Fightin' Words Moonshine\nMelee Damage +5%\nAttacks per min +5%\nResist:\n   Infection-Fatigue +10%\n   Laceration-Abrasions +10%\n   Stun-Strain-Bleeding +10%\nDuration 1 Hour (stacks to 2hr) - Craft at Campfire\nSpecial:\nDamage Resistance +15%"
drinkJarGrandpasThemsFightinWordsMoonshinePromptDesc,items,Food,,,Drink?
buffDrunkGrandpasGunbeltOilSauceDesc,buffs,Buff,,,"Grandpas Gunbelt Oil Sauce\nRanged Damage +5%\nRounds per min +5%\nWeapon Handling +10%\nReload Speed +10%\nDuration 1 Hour (stacks to 2hr) - Craft at Campfire\nSpecial:\n    Fire Resistance +25%\n    Explosion Resistance +25%"
buffDrunkGrandpasGunbeltOilSauceName,buffs,Buff,,,"Grandpas Gunbelt Oil Sauce"
buffDrunkGrandpasGunbeltOilSauceTooltip,buffs,Buff,,,"Get my wheelchair, lets do this..,"
drinkJarGrandpasGunbeltOilSauce,items,Food,,,Grandpas Gunbelt Oil Sauce
drinkJarGrandpasGunbeltOilSauceDesc,items,Food,,,"Grandpas Gunbelt Oil Sauce\nRanged Damage +5%\nRounds per min +5%\nWeapon Handling +10%\nReload Speed +10%\nDuration 1 Hour (stacks to 2hr) - Craft at Campfire\nSpecial:\n    Fire Resistance +25%\n    Explosion Resistance +25%"
drinkJarGrandpasGunbeltOilSaucePromptDesc,items,Food,,,Drink?
buffDrunkGrandpasAwesomeSauceChangedDesc,buffs,Buff,,,Focus your brain on identifying the quality loot. \nRaise Lootstage by 40 for 3 min.
buffDrunkGrandpasAwesomeSauceChangedName,buffs,Buff,,,Grandpas Awesome Sauce
buffDrunkGrandpasAwesomeSauceChangedTooltip,buffs,Buff,,,Tastes like brass or ass. Hard to tell.
drinkJarGrandpasAwesomeSauce,items,Food,,,Grandpa's Awesome Sauce
drinkJarGrandpasAwesomeSauceDesc,items,Food,,,Focus your brain on identifying the quality loot. \nRaise Lootstage by 40 for 3 min.
drinkJarGrandpasAwesomeSauceSchematic,items,Food,,,Grandpa's Awesome Sauce Recipe
statBonusRanger,ui_display,Item stat,,,Glue Loot Bonus
armorRangerHelmet,items,Clothes,,,Ranger Hat
armorRangerHelmetDesc,items,Clothes,,,"Medium Armor\nRangers can fix anything, especially while wearing a well crafted hat. Increases change to find glue.\n\nFull Set Bonus: Reload faster with Revolvers and Lever-Action Rifles."
statBonusAthletic,ui_display,Item stat,,,Honey Loot Bonus
statBonusNerdOutfit,ui_display,Item stat,,,Skill Book Loot Bonus
armorAthleticHelmet,items,Clothes,,,Athletic Hat
armorAthleticHelmetDesc,items,Clothes,,,"Light Armor\nFit and healthy. Increases chance to find honey.\n\nFull Set Bonus: Use less food and water."
statBonusPreacher,ui_display,Item stat,,,Acid Loot Bonus
armorPreacherHelmet,items,Clothes,,,Preacher Hat
armorPreacherHelmetDesc,items,Clothes,,,"Light Armor\nThe cold stare of holy retribution in the Preachers eyes burns like acid. Increases chance to find acid.\n\nFull Set Bonus: Reduces the chance of critical injuries."
statBonusEnforcer,ui_display,Item stat,,,Cement Loot Bonus
armorEnforcerHelmet,items,Clothes,,,Enforcer Sunglasses
armorEnforcerHelmetDesc,items,Clothes,,,"Light Armor\nAlways looking to enforce and reinforce. Increases chance to find beer.\n\nFull Set Bonus: .44 ammo does more damage and .44 Magnum and Desert Vulture reloads faster."
foodPumpkinCheesecakeChanged,items,Food,,,Pumpkin Cheesecake.
foodPumpkinCheesecakeChangedDesc,items,Food,,,This pumpkin cheesecake tastes delicious and grants you a +5% Lootstage Bonus.
statMovementSpeedChanged,ui_display,Item stat,,,Movement Speed
statGeneralDamageResist,ui_display,Item stat,,,Damage Resistance
statReloadSpeedMultiplier,ui_display,Item stat,,,Reload Speed
statFireResistance,ui_display,Item stat,,,Fire Resist
statStunFatigueResistance1,ui_display,Item stat,,,Resist: Infection - Fatigue
statStunFatigueResistance2,ui_display,Item stat,,,Resist: Laceration - Abrasion
statStunFatigueResistance3,ui_display,Item stat,,,Resist: Stun - Sprain - Bleeding
perkSweetToothDesc,progression,perk Int,,,Figure out how to make different kinds of sweets.\nEach discovery brings a small bonus to Lootstage\nNote: Jail Breakers now also have 95% lockpick time reduction.
perkSweetToothName,progression,perk Int,,,Sweet Tooth 
perkSweetToothRank1Desc,progression,perk Int,,,Make Rockbusters and Hackers \nBonus: Adds 4% to Lootstage\n
perkSweetToothRank1LongDesc,progression,perk Int,,,Make Rock Busters and Hackers \nBonus: Adds 4% to Lootstage\n
