6Key,File,Type,UsedInMainMenu,NoTranslate,english
tutorialTipQuest01,Journal Tip,,,,"You are one of 4 siblings from the Harrington Clan out East. You run point for your crew.\nYour family is engaged in an extended war and the war brings you here. You're exploring this area to find new sources of weapons and supplies. \nYou've heard rumours that this area is rich for the pickings, with both the Duke's gang and the Traders moving in to sift through whatever remains of civilisation. \nYour objectives are:\n - establish a base that can withstand zombie attacks as a foothold in the territory.\n - disrupt the Duke's supply chain. Strip the good loot without tipping them off to your presence.\n - identify Trader locations. Map out the extent of their presence and capabilites. Determine if they are friend or foe."
broodnest,Blocks,block,,,Brood Egg Nest
broodnestInfo,Blocks,block,,,"Set up a comfy place for birds to nest in and lay eggs"
broodnestHarvest,Blocks,block,,,Brood Nest Harvest 
broodnestHarvestInfo,Blocks,block,,,"Birds have gone, maybe they've left some eggs"
buffDrunkGrandpasWheelchairRacingElixirDesc,buffs,Buff,,,"Grandpas Wheelchair Racin' Elixir\nHealth Amount +5\nHealth Restore 0.25h/sec\nBlock Damage +10%\nMovement Speed +10%\nStamina Regen +10%\nDuration 1 Hour (stacks to 2hr) - Craft at Campfire\nSpecial:\nInhibits Hunger depletion from Health Regen\nInhibits Thirst depletion from Stamina Regen"
buffDrunkGrandpasWheelchairRacingElixirName,buffs,Buff,,,"Grandpas Wheelchair Racin' Elixir"
buffDrunkGrandpasWheelchairRacingElixirTooltip,buffs,Buff,,,"Get my wheelchair, lets do this..."
drinkJarGrandpasWheelchairRacingElixir,items,Food,,,Grandpa's Wheelchair Racin' Elixir
drinkJarGrandpasWheelchairRacingElixirDesc,items,Food,,,"Grandpas Wheelchair Racin' Elixir\nHealth Amount +5\nHealth Restore 0.25h/sec\nBlock Damage +10%\nMovement Speed +10%\nStamina Regen +10%\nDuration 1 Hour (stacks to 2hr) - Craft at Campfire\n\nSpecial:\nInhibits Hunger depletion from Health Regen\nInhibits Thirst depletion from Stamina Regen"
drinkJarGrandpasWheelchairRacingElixirPromptDesc,items,Food,,,Drink?
buffDrunkGrandpasThemsFightinWordsMoonshineDesc,buffs,Buff,,,"Grandpas Fightin' Words Moonshine\nMelee Damage +5%\nAttacks per min +5%\nResist:\n   Infection-Fatigue +10%\n   Laceration-Abrasions +10%\n   Stun-Strain-Bleeding +15%\nDuration 1 Hour (stacks to 2hr) - Craft at Campfire\nSpecial:\nDamage Resistance +15%"
buffDrunkGrandpasThemsFightinWordsMoonshineName,buffs,Buff,,,"Grandpas Fightin' Words Moonshine"
buffDrunkGrandpasThemsFightinWordsMoonshineTooltip,buffs,Buff,,,"Get my wheelchair, lets do this..,"
drinkJarGrandpasThemsFightinWordsMoonshine,items,Food,,,Grandpas Fightin' Words Moonshine
drinkJarGrandpasThemsFightinWordsMoonshineDesc,items,Food,,,"Grandpas Fightin' Words Moonshine\nMelee Damage +5%\nAttacks per min +5%\nResist:\n   Infection-Fatigue +10%\n   Laceration-Abrasions +10%\n   Stun-Strain-Bleeding +10%\nDuration 1 Hour (stacks to 2hr) - Craft at Campfire\nSpecial:\nDamage Resistance +15%"
drinkJarGrandpasThemsFightinWordsMoonshinePromptDesc,items,Food,,,Drink?
buffDrunkGrandpasGunbeltOilSauceDesc,buffs,Buff,,,"Grandpas Gunbelt Oil Sauce\nRanged Damage +5%\nRounds per min +5%\nWeapon Handling +10%\nReload Speed +10%\nDuration 1 Hour (stacks to 2hr) - Craft at Campfire\nSpecial:\n    Fire Resistance +25%\n    Explosion Resistance +25%"
buffDrunkGrandpasGunbeltOilSauceName,buffs,Buff,,,"Grandpas Gunbelt Oil Sauce"
buffDrunkGrandpasGunbeltOilSauceTooltip,buffs,Buff,,,"Get my wheelchair, lets do this..,"
drinkJarGrandpasGunbeltOilSauce,items,Food,,,Grandpas Gunbelt Oil Sauce
drinkJarGrandpasGunbeltOilSauceDesc,items,Food,,,"Grandpas Gunbelt Oil Sauce\nRanged Damage +5%\nRounds per min +5%\nWeapon Handling +10%\nReload Speed +10%\nDuration 1 Hour (stacks to 2hr) - Craft at Campfire\nSpecial:\n    Fire Resistance +25%\n    Explosion Resistance +25%"
drinkJarGrandpasGunbeltOilSaucePromptDesc,items,Food,,,Drink?
buffDrunkGrandpasAwesomeSauceChangedDesc,buffs,Buff,,,Focus your brain on identifying the quality loot. \nRaise Lootstage by 40 for 3 min.
buffDrunkGrandpasAwesomeSauceChangedName,buffs,Buff,,,Grandpas Awesome Sauce
buffDrunkGrandpasAwesomeSauceChangedTooltip,buffs,Buff,,,Tastes like brass or ass. Hard to tell.
drinkJarGrandpasAwesomeSauce,items,Food,,,Grandpa's Awesome Sauce
drinkJarGrandpasAwesomeSauceDesc,items,Food,,,Focus your brain on identifying the quality loot. \nRaise Lootstage by 40 for 3 min.
drinkJarGrandpasAwesomeSauceSchematic,items,Food,,,Grandpa's Awesome Sauce Recipe
foodPumpkinCheesecakeChanged,items,Food,,,Pumpkin Cheesecake.
foodPumpkinCheesecakeChangedDesc,items,Food,,,This pumpkin cheesecake tastes delicious and grants you a +5% Lootstage Bonus.
quest_BasicStart,Quest,Quest Info,,,Fresh Start
quest_BasicStart_subtitle,Quest,Quest Info,,,"You have 4 exp points"
quest_BasicStart_description,Quest,Quest Info,,,"You have 4 exp points"
statMovementSpeedChanged,ui_display,Item stat,,,Movement Speed
statGeneralDamageResist,ui_display,Item stat,,,Damage Resistance
statReloadSpeedMultiplier,ui_display,Item stat,,,Reload Speed
statFireResistance,ui_display,Item stat,,,Fire Resist
statStunFatigueResistance1,ui_display,Item stat,,,Resist: Infection - Fatigue
statStunFatigueResistance2,ui_display,Item stat,,,Resist: Laceration - Abrasion
statStunFatigueResistance3,ui_display,Item stat,,,Resist: Stun - Sprain - Bleeding
perkBetterBarterDesc,progression,perk Int,,,Figure out how to make different kinds of sweets.\nEach discovery brings a small bonus to Lootstage\nNote: Jail Breakers now also have 95% lockpick time reduction.
perkBetterBarterName,progression,perk Int,,,Sweet Tooth 
perkBetterBarterRank1Desc,progression,perk Int,,,Make Rockbusters and Hackers \nBonus: Adds 4% to Lootstage\n
perkBetterBarterRank1LongDesc,progression,perk Int,,,Make Rock Busters and Hackers \nBonus: Adds 4% to Lootstage\n
perkBetterBarterRank2Desc,progression,perk Int,,,Make Atom Junkies and Covert Cats \nBonus: Adds 4% more to Lootstage (8% Total)\n
perkBetterBarterRank2LongDesc,progression,perk Int,,,Make Atom Junkies and Covert Cats \nBonus: Adds 4% more to Lootstage (8% Total)\n
perkBetterBarterRank3Desc,progression,perk Int,,,"Make Skull Crushers, Nerd Tats and Oh Shitz Drops\nBonus: Adds 2% more to Lootstage (10% Total)\n"
perkBetterBarterRank3LongDesc,progression,perk Int,,,"Make Skull Crushers, Nerd Tats and Oh Shitz Drops\nBonus: Adds 2% more to Lootstage (10% Total)\n"
perkBetterBarterRank4Desc,progression,perk Int,,,"Make Jail Breakers, Health Bar and Eye Kandy\nBonus: Adds 2% more to Lootstage (12% Total)\n"
perkBetterBarterRank4LongDesc,progression,perk Int,,,"Make Jail Breakers, Health Bar and Eye Kandy\nBonus: Adds 2% more to Lootstage (12% Total)\n"
perkDaringAdventurerDesc,progression,perk Int,,,Using your noggin' - refine your production line processes\n and save 20% or more by crafting resource bundles.\n
perkDaringAdventurerName,progression,perk Int,,,Production Line
perkDaringAdventurerRank1Desc,progression,perk Int,,,Save 20% on bundles of Glue(10).\nSave 20% on packs of Wooden blocks(100).\nSave 20% on packs of Cobblestone blocks(50).
perkDaringAdventurerRank1LongDesc,progression,perk Int,,,Save 20% on bundles of Glue(10).\nSave 20% on packs of Wooden blocks(100).\nSave 20% on packs of Cobblestone blocks(50).
perkDaringAdventurerRank2Desc,progression,perk Int,,,Save 20% on bundles of Duct Tape(10).\nSave 20% on packs of Concrete blocks(50).\nSave 30% on large packs of Cobblestone blocks(100).
perkDaringAdventurerRank2LongDesc,progression,perk Int,,,Save 20% on bundles of Duct Tape(10).\nSave 20% on packs of Concrete blocks(50).\nSave 30% on large packs of Cobblestone blocks(100).
perkDaringAdventurerRank3Desc,progression,perk Int,,,Save 20% on packs of Steel blocks(50).\nSave 30% on large packs of Duct Tape(50) & Glue(30).\nSave 30% on large packs of Concrete Blocks(100).
perkDaringAdventurerRank3LongDesc,progression,perk Int,,,Save 20% on packs of Steel blocks(50).\nSave 30% on large packs of Duct Tape(50) & Glue(30).\nSave 30% on large packs of Concrete Blocks(100).
perkDaringAdventurerRank4Desc,progression,perk Int,,,Save 30% on large packs of Steel Blocks(100).\nSave 30% on packs of Molotovs & Grenades(20).\nSave 50% on large packs of Fuel(10000).
